Time,Degree,Velocity,Weight,Electromagnet_Clutch_1,Electromagnet_Clutch_2,Electromagnet_Clutch_3,Electromagnet_Clutch_4
3.22,0.00,0.00,-0.00,0,0,0,0
11.07,0.00,0.00,-0.00,0,1,0,0
18.89,0.00,0.00,-0.00,0,1,0,0
26.72,0.00,0.00,-0.00,0,1,0,0
34.54,0.00,0.00,-0.00,0,1,0,0
42.32,0.00,0.00,-0.00,0,1,0,0
50.09,0.00,0.00,-0.00,0,1,0,0
57.86,0.00,0.00,-0.00,0,1,0,0
65.62,0.00,0.00,-0.00,0,1,0,0
73.39,0.00,0.00,-0.00,0,1,0,0
81.15,0.00,0.00,-0.00,0,1,0,0
88.92,0.00,0.00,-0.00,0,1,0,0
96.70,0.00,0.00,-0.00,0,1,0,0
104.47,0.00,0.00,-0.00,0,1,0,0
112.26,0.00,0.00,-0.00,0,1,0,0
120.04,0.00,0.00,-0.00,0,1,0,0
127.82,0.00,0.00,-0.00,0,1,0,0
135.60,0.00,0.00,-0.00,0,1,0,0
143.37,0.00,0.00,-0.00,0,1,0,0
151.13,0.00,0.00,-0.00,0,1,0,0
158.91,0.00,0.00,-0.00,0,1,0,0
166.69,0.00,0.00,-0.00,0,1,0,0
174.46,0.00,0.00,-0.00,0,1,0,0
182.23,0.00,0.00,-0.00,0,1,0,0
190.00,0.00,0.00,-0.00,0,1,0,0
197.78,0.00,0.00,-0.00,0,1,0,0
205.57,0.00,0.00,-0.00,0,1,0,0
213.43,0.00,0.00,-0.00,0,1,0,0
221.39,0.00,0.00,-0.00,0,1,0,0
229.19,0.00,0.00,-0.00,0,1,0,0
237.00,0.00,0.00,-0.00,0,1,0,0
244.80,0.00,0.00,-0.00,0,1,0,0
252.60,0.00,0.00,-0.00,0,1,0,0
260.40,0.00,0.00,-0.00,0,1,0,0
268.21,0.00,0.00,-0.00,0,1,0,0
276.02,0.00,0.00,-0.00,0,1,0,0
283.81,0.00,0.00,-0.00,0,1,0,0
291.61,0.00,0.00,-0.00,0,1,0,0
299.41,0.00,0.00,-0.00,0,1,0,0
307.22,0.00,0.00,-0.00,0,1,0,0
315.04,0.00,0.00,-0.00,0,1,0,0
322.85,0.00,0.00,-0.00,0,1,0,0
330.65,0.00,0.00,-0.00,0,1,0,0
338.46,0.00,0.00,-0.00,0,1,0,0
346.28,0.00,0.00,-0.00,0,1,0,0
354.07,0.00,0.00,-0.00,0,1,0,0
361.86,0.00,0.00,-0.00,0,1,0,0
369.67,0.00,0.00,-0.00,0,1,0,0
377.48,0.00,0.00,-0.00,0,1,0,0
385.27,0.00,0.00,-0.00,0,1,0,0
393.06,0.00,0.00,-0.00,0,1,0,0
400.89,0.00,0.00,-0.00,0,1,0,0
408.69,0.00,0.00,-0.00,0,1,0,0
416.53,0.00,0.00,-0.00,0,1,0,0
424.37,0.00,0.00,-0.00,0,1,0,0
432.17,0.00,0.00,-0.00,0,1,0,0
439.96,0.00,0.00,-0.00,0,1,0,0
447.75,0.00,0.00,-0.00,0,1,0,0
455.54,0.00,0.00,-0.00,0,1,0,0
463.32,0.00,0.00,-0.00,0,1,0,0
471.11,0.00,0.00,-0.00,0,1,0,0
478.90,0.00,0.00,-0.00,0,1,0,0
486.68,0.00,0.00,-0.00,0,1,0,0
494.47,0.00,0.00,-0.00,0,1,0,0
502.26,0.00,0.00,-0.00,0,1,0,0
510.05,0.00,0.00,-0.00,0,1,0,0
517.86,0.00,0.00,-0.00,0,1,0,0
525.64,0.00,0.00,-0.00,0,1,0,0
533.43,0.00,0.00,-0.00,0,1,0,0
541.22,0.00,0.00,-0.00,0,1,0,0
549.01,0.00,0.00,-0.00,0,1,0,0
556.79,0.00,0.00,-0.00,0,1,0,0
564.58,0.00,0.00,-0.00,0,1,0,0
572.37,0.00,0.00,-0.00,0,1,0,0
580.15,0.00,0.00,-0.00,0,1,0,0
587.93,0.00,0.00,-0.00,0,1,0,0
595.72,0.00,0.00,-0.00,0,1,0,0
603.51,0.00,0.00,-0.00,0,1,0,0
611.29,0.00,0.00,-0.00,0,1,0,0
619.17,0.00,0.00,-0.00,0,1,0,0
627.00,0.00,0.00,-0.00,0,1,0,0
634.82,0.00,0.00,-0.00,0,1,0,0
642.64,0.00,0.00,-0.00,0,1,0,0
650.47,0.00,0.00,-0.00,0,1,0,0
658.28,0.00,0.00,-0.00,0,1,0,0
666.10,0.00,0.00,-0.00,0,1,0,0
673.92,0.00,0.00,-0.00,0,1,0,0
